Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
asper,Fer-de-lance,,,,,20.4
atrox,Common lancehead,,,,,8.5
caribbaeus,Saint Lucia lancehead,,,,,14.4
lanceolatus,Martinique lancehead,,,,,13
neuwiedi,Yara,,,,,15.1
rhombeatus,Cape viper,,,,,6.6
cerastes,Horned viper,,,,,18
godmani,Godman's montane pit viper,,,,,15.8
adamanteus,Eastern diamondback rattlesnake,,,,,22.8
atrox,Western diamond-backed rattlesnake,,1095,,14,27
basiliscus,Mexican West-Coast rattlesnake,,,,,16
catalinensis,Saint Catalina rattlesnake,,,,,11.8
cerastes,Sidewinder,,,,,27.3
durissus,Neotropical rattlesnake,1150,1095,120,6,19.8
enyo,Baja California rattlesnake,,,,,17.1
horridus,Timber rattlesnake,,1825,135,9,30.2
lepidus,New Mexico banded rock rattlesnake,,,,,33.6
mitchelli,Southwestern speckled rattlesnake,,,,,22
molossus,Northern black-tailed rattlesnake,,,,,20.7
pricei,Twin-spotted rattlesnake,,,,,15.7
ruber,Red diamond rattlesnake,,,,,19.2
scutulatus,Mojave rattlesnake,,,,,14.4
tigris,Tiger rattlesnake,,,,,15.3
tortugensis,Tortuga Island rattlesnake,,,,,18.3
vegrandis,Uracoan rattlesnake,,,,,19.8
viridis,Southern Pacific rattlesnake,,,,,24.1
willardi,Arizona ridge-nosed rattlesnake,,,,,21.3
russelii,Russell's viper,,,,,15
carinatus,Saw-scaled viper,,,,,23.8
coloratus,Palestine saw-scaled viper,,,,,28.3
macmahonii,Mcmahon's viper,,,,,14.6
blomhoffii,Japanese mamushi,,,,,13.8
muta,Bushmaster,,1460,77,10,31.6
lebetina,Bluntnose viper,,,,,13.3
melanurus,Black-tailed montane pit viper,,,,,17.1
undulatus,Mexican horned pit viper,,,,,14.9
okinavensis,Okinawan habu,,,,,19
persicus,Persian horned viper,,,,,17.1
catenatus,Massasauga,,1100,,8,20
miliarius,Pigmy rattlesnake,,,,,16.1
ravus,Pygmy rattlesnake,,,,,14.8
albolabris,White-lipped tree viper,,,,,11.4
flavoviridis,Yellow-spotted pit viper,,,,,24.9
gramineus,Indian green tree viper,,,,,8.4
popeorum,Pope's pit viper,,,,,14
ammodytes,Long-nosed viper,,,,,22
aspis,Asp viper,,1460,,,25
berus,Northern palaearctic viper,,,,,19
latastei,Lataste's viper,,,,,9.7
raddei,Armenian viper,,,,,10.7
xanthina,Palestine viper,,,,,16.4
flavimaculatum,Yellow-spotted night lizard,,,,,11
henshawi,Granite night lizard,,,,,14.3
riversiana,Island night lizard,,,,,13.9
vigilis,Desert night lizard,,,,,10.9
unicolor,Sunbeam snake,,,,,12.1
typus,Boomslang,,,,,8.7
insculpta,Pignose turtle,,,,,38.4
longicollis,Common snake-necked turtle,,,,,37
fimbriatus,Mata mata,,,,,35.8
dentata,Northern Australian snapping turtle,,,,,21.8
krefftii,Krefft's river turtle,,,,,15.8
macquarii,Macquarie turtle,,,,,20.9
dahli,Dahl's toad-headed turtle,,,,,27.4
latisternum,Serrated snapping turtle,,,,,26.5
geoffroanus,Geoffrey's sideneck turtle,,,,,37.5
hilarii,Hilaire's side-necked turtle,,,,,37.4
platycephala,Twistneck turtle,,,,,20
caretta,Loggerhead sea turtle,156500,3650,60,115,37
mydas,Green sea turtle,160000,3650,59,150,75
serpentina,Common snapping turtle,10250,2646,,,47
temminckii,Alligator snapping turtle,58500,4015,120,30,70.3
mawii,Central american river turtle,,,,,11.3
coriacea,Leatherback sea turtle,420000,,60,105,30
marmorata,Southwestern pond turtle,,,,,27.3
picta,Painted turtle,371.8,1642,,,61
guttata,Spotted turtle,,2920,77,3,30
reticularia,Chicken turtle,,912,,,24
blandingii,Blanding's turtle,,4380,,8,77
orbicularis,European pond turtle,,,,,120
insculpta,Wood turtle,,5840,,,60
muhlenbergii,Bog turtle,,2900,90,3,40
barbouri,Barbour's map turtle,,,,,31.7
caglei,Cagle's map turtle,,,,,14.5
nigrinoda,Black-knobbed map turtle,,,,,20.3
oculifera,Ringed map turtle,,,,,20.3
pseudogeographica,Mississippi map turtle,,,,,35.4
pulchra,Alabama map turtle,,,,,15.7
concinna,River cooter,,1277,,,44
nelsoni,Florida red-bellied turtle,,,,,26.1
carolina,Eastern box turtle,,2190,,,138
coahuila,Coahuilan box turtle,,,,,18.8
nelsoni,Spotted box turtle,,,,,24.9
ornata,Ornate box turtle,,2920,63,5,28.4
scripta,Common slider,240,1460,75,13,41.3
baska,Indian batagur terrapin,,,,,21.7
amboinensis,Southeast Asian box turtle,,,,,38.2
flavomarginata,Yellow-margined box turtle,,,,,19.1
trifasciata,Chinese three-striped box turtle,,,,,31.8
dentata,Asian leaf turtle,,,,,14.7
hamiltonii,Indian black pond turtle,,,,,19.2
thurjii,Crowned river turtle,,,,,18
annandalii,Yellow-headed temple turtle,,,,,9.3
grandis,Giant asian pond turtle,,,,,29.6
spinosa,Spiny turtle,,,,,22.9
subtrijuga,Malayan snail-eating turtle,,,,,14.2
annamensis,Annam leaf turtle,,,,,23.9
caspica,Caspian turtle,,,,,17.6
japonica,Japanese pond turtle,,,,,16.2
leprosa,Spanish pond turtle,,,,,24.5
mutica,Yellow pond turtle,,,,,22.1
nigricans,Red-necked pond turtle,,,,,18
reevesii,Reeves' turtle,,,,,24.2
sinensis,Chinese stripe-necked turtle,,,,,22.8
trijuga,Indian black turtle,,,,,40
platynota,Malayan flat-shelled turtle,,,,,18.8
smithii,Brown roofed turtle,,,,,13.8
tecta,Indian roofed turtle,,,,,11
areolata,Furrowed wood turtle,,,,,19.3
pulcherrima,Painted wood turtle,,,,,20.4
rubida,Mexican spotted wood turtle,,,,,11.8
bealei,Beal's eyed turtle,,,,,27.3
crassicollis,Thick-necked turtle,,,,,16.7
angustatus,Narrow-bridged musk turtle,,,,,16.1
baurii,Striped mud turtle,,690,,,49.6
herrerai,Herrera's mud turtle,,,,,19.5
integrum,Mexican mud turtle,,,,,18.5
leucostomum,White-lipped mud turtle,,,,,19.2
scorpioides,Scorpion mud turtle,,,,,44.7
sonoriense,Sonoran mud turtle,,,,,36.5
subrubrum,Common mud turtle,,1460,76,4,40
salvinii,Pacific Coast giant musk turtle,,,,,26.3
triporcatus,Mexican giant musk turtle,,,,,33.5
carinatus,Keel-backed musk turtle,,,,,29.3
minor,Loggerhead musk turtle,,1460,,,23.9
odoratus,Stinkpot,,1277,,,54.8
subrufa,Helmeted turtle,,,,,20.1
castaneus,West African mud turtle,,,,,41
subniger,East African black mud turtle,,,,,47
megacephalum,Big-headed turtle,,,,,27
erythrocephala,Red-headed Amazon side-neck turtle,,,,,18
expansa,South American river turtle,,,,,25.3
gigantea,Aldabra tortoise,,,,,152
radiata,Radiated tortoise,,,,,32.8
sulcata,African spurred tortoise,43000,,,,54.3
carbonaria,Red-footed tortoise,,,,,49
denticulata,Yellow-footed tortoise,,,,,35.2
nigra,Galapagos tortoise,,,,,177
elegans,Indian star tortoise,,,,,24.3
agassizii,Desert tortoise,,5500,118,8,62.8
berlandieri,Berlandier's tortoise,,,,,30.7
areolatus,Parrot-beaked tortoise,,,,,28.6
forstenii,Travancore tortoise,,,,,32.9
belliana,Hingeback tortoise,,,,,26.5
erosa,Serrated forest hingeback tortoise,,,,,24.8
tornieri,Pancake tortoise,,,,,25.9
emys,East Indian upland tortoise,,,,,19.9
pardalis,Leopard tortoise,,,,,30
graeca,Mediterranean spur-thighed tortoise,,4560,,,127
kleinmanni,Egyptian tortoise,,,,,21
marginata,Marginated tortoise,,,,,21.2
ferox,Florida softshell turtle,,,,,26.2
spinifera,Spiny softshell turtle,,3285,,,25.2
punctata,Indian flapshell turtle,,,,,17.8
steindachneri,Wattle-necked softshell turtle,,,,,41
triunguis,African softshell turtle,,,,,50.6
anguilla,European eel,3629.45,4015,,,88
australis,Shortfin eel,4100,,,,32
bicolor,Indonesian shortfin eel,,,,,20
dieffenbachii,New Zealand longfin eel,13000,,,,60
marmorata,Marbled eel,11275,,,,40
mossambica,African longfin eel,412.5,,,,20
nebulosa,Long-finned eel,11000,,,,15
reinhardtii,Speckled longfin eel,8965,3650,,,41
rostrata,American eel,4031.5,1642,,,50
presbyter,Sand smelt,,,,,4
affinis,Topsmelt,,,,,9
californiensis,Jacksmelt,,,,,11
sicculus,Brook silverside,,120,,,2
tenuis,California grunion,,,,,8
beryllina,Inland silverside,,,,,2
extensa,Waccamaw silverside,,,,,3
menidia,Atlantic silverside,,,,,2
myops,Snakefish,,730,,,7
latipes,Japanese medaka,,,10,,5
melanochir,Dusky sea garfish,330,912,,,10
saira,Pacific saury,,,,,2
splendens,Alfonsino,,2737,,,23
atlanticus,Orange roughy,3850,7208,,,149
imberi,Spot-tail,165,,,,5
macrolepidotus,Silversides,1100,,,,5
vittatus,Tiger fish,15400,,,,8
acutidens,Sharptooth tetra,1.1,,,,3
bimaculatus,Twospot astyanax,,,,,18
brachypomus,Pirapitinga,13750,,,,28
niloticus,Nile distichodus,3410,,,,7.5
odoe,Pike characid,2200,,,,5
aestivalis,Blueback shad,110,1277,,,8
agone,Twaite shad,825,,,,25
alabamae,Alabama shad,,,,,4
alosa,Alice shad,2200,1277,,,10
caspia,Caspian shad,65,,,,7
chrysochloris,Blue herring,935,,,,4
macedonica,Macedonia shad,330,,,,10
maeotica,Black sea shad,,,,,6
pontica,Pontic shad,,730,,,7
pseudoharengus,Alewife,110,1277,,,8
sapidissima,American shad,3025,1569,,,13
sirm,Spotted sardinella,,350,,,8
harengus,Atlantic herring,,1095,,,22
pallasii,Pacific herring,,,,,19
cultriventris,Black sea sprat,,912,,,5
cepedianum,American gizzard shad,1089,730,,,6
petenense,Threadfin shad,,730,,,4
aestuaria,Gilchrist's round herring,,,,,6
jaguana,Scaled herring,,365,,,3
richmondia,Australian freshwater herring,,,,,11
pilchardus,True sardine,,730,,,15
aurita,Round sardinella,125.95,365,,,7
gibbosa,Goldstripe sardinella,,,,,7
longiceps,Indian oil sardine,110,719,,,4
sagax,Pacific sardine,267.3,821,,,25
sprattus,European sprat,,730,,,6
compressa,Deepbody anchovy,,,,,6
mysticetus,Anchoveta,,365,,,4
australis,Australian anchovy,,,,,6
encrasicolus,European anchovy,,365,,,3
japonicus,Japanese anchovy,,365,,,3
mordax,Californian anchoveta,,,,,7
ringens,Peruvian anchoveta,,,,,3
barbatula,Stone loach,,,,,7
carpio,River carpsucker,2524.5,,,,10
cyprinus,Quillback,1617,,,,11
velifer,Highfin carpsucker,,,,,11
catostomus,Longnose sucker,1800,,,,20
commersonii,White sucker,1617,,,,12
macrocheilus,Largescale sucker,,,,,15
microps,Modoc sucker,,,,,18
occidentalis,Sacramento sucker,,,,,10
platyrhynchus,Mountain sucker,,1003,,,9
rimiculus,Klamath smallscale sucker,,,,,9
tahoensis,Tahoe sucker,,,,,15
cujus,Cui-ui,1496,5657,,,41
liorus,June sucker,,,,,40
elongatus,Blue sucker,,,,,13
meridionalis,Southeastern blue sucker,,,,,33
luxatus,Lost river sucker,,,,,18
oblongus,Creek chubsucker,,,,,6
nigricans,Northern hog sucker,700,700,,,11
roanokense,Roanoke hog sucker,,,,,5
bubalus,Smallmouth buffalo,20515,,,,15
cyprinellus,Bigmouth buffalo,17545,,,,20
niger,Black buffalo,15785,,,,24
melanops,Spotted sucker,676.5,,,,6
anisurum,Silver redhorse,5940,,,,10
breviceps,Hookfin redhorse,750,1460,,,8
carinatum,River redhorse,3089,1095,,14500,12
duquesnii,Black redhorse,1250,1095,,,10
erythrurum,Golden redhorse,2244,,,,11
macrolepidotum,Shorthead redhorse,2194.5,,,,9
atripinnis,Blackfin sucker,,,,,4
hamiltoni,Rustyside sucker,,,,,5
rhothoeca,Torrent sucker,,,,,7
fossilis,Loach,,,,,21.7
brama,Bream,3305.5,1825,,,23
aspius,Asp,4950,1277,,,11
bynni,Barb,,,,,16.3
mattozi,Papermouth,745.25,,,,9
treurensis,Treur barb,,,,,6
oligolepis,Largescale stoneroller,,,,,5
auratus,Goldfish,,,,,41
nasus,Sneep,825,,,,15
cumberlandensis,Blackside dace,,,,,4
eos,Northern redbelly dace,,,,,3
erythrogaster,Southern redbelly dace,,,,,3
neogaeus,Finescale dace,,,,,6
elongatus,Redside dace,,,,,4
plumbeus,Lake chub,,,,,5
idella,Silver orfe,24750,1460,,,21
analostana,Satinfin shiner,,,,,4
galactura,Whitetail shiner,,,,,4
lutrensis,Red shiner,,,,,2
spiloptera,Spotfin shiner,,,,,5
whipplei,Steelcolor shiner,,,,,3
carpio,Common carp,10600,1095,4,300000,47
rerio,Zebra danio or zebrafish,,,,,5.5
laurae,Tonguetied minnow,,,,,4
maxillingua,Cutlip minnow,,,,,2
orcuttii,Arroyo chub,,,,,4
robusta,Roundtail chub,,,,,8
gobio,Gudgeon,,,,,8
altivelis,Rednose labeo,1980,,,,9
rohita,Rohu,24750,985,,,10
aeneus,Smallmouth yellowfish,4310.35,,,,12
mollispinis,Virgin spinedace,,,,,3
delineatus,Belica,,,,,2
cephalus,European chub,4400,1277,,,22
idus,Ide,2200,1825,,,29.8
leuciscus,Common dace,550,1186,,,16
chrysocephalus,Striped shiner,,,,,4
coccogenis,Warpaint shiner,,1095,,525,5
cornutus,Common shiner,,,,,4
zonatus,Bleeding shiner,,,,,3
roseipinnis,Cherryfin shiner,,,,,1
umbratilis,Redfin shiner,,,,,3
margarita,Pearl dace,,,,,4
biguttatus,Horneyhead chub,,,,,4
leptocephalus,Bluehead chub,,,,,4
micropogon,River chub,,730,,,5
raneyi,Bull chub,,,,,5
crysoleucas,Golden shiner,,,,,9
albizonatus,Palezone shiner,,,,,3
anogenus,Pugnose shiner,,,,,3
atherinoides,Emerald shiner,,,,,4
baileyi,Rough shiner,,,,,4
blennius,River shiner,,,,,4
buccatus,Silverjaw minnow,,,,,3
buchanani,Ghost shiner,,,,,2
candidus,Silverside shiner,,,,,2
heterodon,Blackchin shiner,,,,,3
hudsonius,Spottail shiner,,,,,5
nubilus,Ozark minnow,,,,,4
perpallidus,Peppered shiner,,,,,4
petersoni,Coastal shiner,,,,,4
procne,Swallowtail shiner,,,,,3
rubellus,Rosyface shiner,,,,,3
rubricroceus,Saffron shiner,,,,750,5
semperasper,Roughhead shiner,,,,,4
stramineus,Sand shiner,,,,,3
texanus,Weed shiner,,,,,3
topeka,Topeka shiner,,,,,3
volucellus,Mimic shiner,,,,,2
humilis,Dwarf altai osman,13.75,,,,15
potanini,Altai osman,5500,3102,,,40
cultratus,Ziege,1100,1095,,,11
crassilabrum,Fatlips minnow,,365,,,3
mirabilis,Suckermouth minnow,,,,,3
phoxinus,Minnow,,1277,,,13
notatus,Bluntnose minnow,,,,,5
promelas,Fathead minnow,,60,5,4500,2
argentissimus,Woundfin,,,,,4
burchelli,Burchell's redfin,,,,,6
hubbsi,Bluehead shiner,,,,,2
lucius,Colorado pikeminnow,,,,,12
solitarius,Relict dace,,,,,5
atratulus,Blacknose dace,,365,,750,4
cataractae,Longnose dace,,1095,,,5
cobitis,Loach minnow,,,,,5
sericeus,Bitterling,,912,,,5
egregius,Lahontan redside,,,,,5
frisii,Kutum,2750,,,,12
rutilus,Roach,1012,730,,,14
erythrophthalmus,Pearl roach,1153.35,1095,,,19
atromaculatus,Creek chub,,1095,,50,8
adloffi,Annual fish,,,,,3.7
bellottii,Argentine pearlfish,,,,,3
nigripinnis,Blackfin pearlfish,,,,,1
furzeri,Turquoise killifish,,28,,,1.1
guentheri,Gunther's nothobranch,,78,,,2.3
kilomberoensis,Kilombero,,,,,0.8
korthausae,Korthaus' killifish,,,,,1.6
kuhntae,Beira killifish,,49,,,1.2
rachovii,Bluefin notho,,,,,1.5
macularius,Desert pupfish,,,,,2
radiosus,Owens pupfish,,,,,2
tularosa,White sands pupfish,,,,,5
catenatus,Northern studfish,,,,,5
parvipinnis,California killifish,,,,,3
seminolis,Seminole killifish,,,,,2
zebrinus,Plains killifish,,,,,3
ommata,Pygmy killifish,,,,,2
goodei,Bluefin killifish,,,,,2
affinis,Mosquitofish,,90,,,3
reticulata,Guppy,,74,,,5
occidentalis,Gila topminnow,,,,,1
atlanticus,Tarpon,88550,3650,,,55
cyprinoides,Oxeye,9900,,,,44
lucius,Northern pike,15620,889,,,30
masquinongy,Muskellunge,17490,1460,,,30
niger,Chain pickerel,2337.5,912,,,9
pectoralis,Alaska blackfish,201.3,912,,,8
limi,Central mudminnow,,,,,4
saida,Arctic cod,,912,,,7
brosme,Cusk,16500,3285,,,20
mustela,Fivebeard rockling,,,,,3
gracilis,Saffron cod,605,912,,,12
cimbrius,Fourbeard rockling,,1095,,,9
argenteus,Silvery pout,,,,,3
chalcogrammus,Alaska pollock,770,1095,,,15
macrocephalus,Pacific cod,12485,,,,18
morhua,Atlantic cod,52800,778,,,25
ogac,Greenland cod,,1277,,,12
lota,Burbot,18700,1095,,,20
aeglefinus,Haddock,9240,620,,,20
merlangus,English whiting,1700,730,,,20
poutassou,Blue whiting,456.5,602,,,20
dypterygia,Blue ling,16500,3650,,,25
macrophthalma,Mediterranean ling,,,,,20
blennoides,Greater forkbeard,1947,,,,20
pollachius,European pollock,9955,,,,8
virens,Pollock,17600,839,,,25
esmarkii,Norway pout,,693,,,5
luscus,Pout whiting,,730,,,4
tenuis,Mud hake,11550,510,,,23
pectoralis,Giant grenadier,,,,,56
acrolepis,Roughscale rattail,,,,,73
rupestris,Rock grenadier,929.5,,,,54
berglax,Onion-eye grenadier,,,,,25
carinatus,Ridge scaled rattail,,,,,19
novaezelandiae,Blue grenadier,825,1642,,,25
australis,Southern hake,,2615,,,30
bilinearis,Silver hake,1265,602,,,12
gayi,Chilean hake,,730,,,13
merluccius,European hake,8250,1095,,,20
productus,North pacific hake,654.5,1460,,,15
quadracus,Fourspine stickleback,,,,,3
inconstans,Brook stickleback,,,,,2
aculeatus,Alaskan stickleback,,,,,8
pungitius,Ninespine stickleback,,547,,,5
dybowskii,Korean sandeel,,,,,1
erectus,Hudson sea horse,,273,,,4.7
guttulatus,Sea horse,,,,,6
whitei,White's seahorse,,,,,5
zosterae,Dwarf seahorse,,118,,,1
scovelli,Gulf pipefish,,,,,3
chanos,Milkfish,7700,2281,,,15
auriculata,Airbreathing shellear,,,,,3
electricus,Electric eel,,,,,12.6
americanus,Goosefish,12430,,,,30
budegassa,Black-bellied angler,,1460,,,21
piscatorius,Anglerfish,31735,1642,,,24
vomerinus,Cape monk,,,,,11
forsteri,Yellow-eye mullet,522.5,912,,,7
labrosus,Thicklipped mullet,2475,1095,,,25
ramado,Thinlip mullet,1595,1277,,,10
cephalus,Striped mullet,4400,730,,,16
glaciale,Glacier lanterfish,,912,,,8
risso,Chubby flashlightfish,,,,,1
hectoris,Hector's lanternfish,,,,,3
leucopsarus,Northern lampfish,,,,,8
blacodes,Australian rockling,13750,,,,30
bairdii,Baird's smoothhead,,,,,38
elongata,Silverside,,,,,16
silus,Atlantic argentine,,2555,,,35
nigrostriata,Black-stripe minnow,,,,,1
olidus,Pond smelt,,,,,5
pretiosus,Surf smelt,,547,,,5
villosus,Capelin,,1095,,,10
eperlanus,Smelt,,730,,,10
mordax,Rainbow smelt,,,,,7
altivelis,Ayu,,,,,3
thaleichthys,Longfin smelt,,,,,3
pacificus,Eulachon,,912,,,5
maraena,Australian grayling,,,,,6
semoni,Australian smelt,,365,,,2
alosoides,Goldeye,946,,,,14
tergisus,Mooneye,498.85,,,,10
rume,Mormyrids,2915,,,,6
isidori,Mormyrid,4,,,,29
nigri,African knifefish,,,,,11.4
bicirrhosum,Arawana,2530,,,,6.5
hexapterus,Pacific sand lance,,912,,,8
marinus,Sand eel,,912,,,10
tobianus,Lesser sand eel,,547,,,7
testudineus,Climbing perch,,,,,8
kingsleyae,Miss Kingsley's climbing perch,68.75,,,,8.7
georgianus,Australian ruff,440,1095,,,7
trutta,Australian salmon,5170,,,,26
truttacea,Western Australian salmon,5775,1551,,,9
pholis,Shanny,,,,,10
punctatus,Muzzled blenny,,,,,4
gattorugine,Tompot blenny,,,,,5
brama,Atlantic pomfret,3300,,,,9
steindachneri,Sickle pomfret,6050,,,,8
lyra,European dragonet,,,,,7
crysos,Blue runner,2777.5,,,,11
dentex,White trevally,9955,,,,49
declivis,Greenback horse mackerel,,1186,,,25
murphyi,Inca scad,,,,,16
novaezelandiae,Yellowtail horse mackerel,,1277,,,25
symmetricus,Jack mackerel,,,,,30
pomotis,Mud sunfish,,,,,8
rupestris,Rock bass,824,,,,18
interruptus,Sacramento perch,792,,,,6
macropterus,Flier,308,,,,5
auritus,Redbreast sunfish,467.25,,,,8
cyanellus,Green sunfish,529,,,,9
macrochirus,Bluegill,1181.25,,,,10
marginatus,Dollar sunfish,,,,,6
megalotis,Longear sunfish,434.5,,,,6
microlophus,Redear sunfish,121,,,,7
symmetricus,Bantam sunfish,,,,,3
dolomieu,Smallmouth bass,2975.5,2007,,,26
punctulatus,Spotted bass,2557,,,,7
salmoides,Largemouth bass,5527.5,1277,,,23
annularis,White crappie,1292.5,,,,10
nigromaculatus,Black crappie,1496,,,,15
antarctica,Antarctic butterfish,33000,2281,,,15
brama,Whario,2200,1277,,,15
porosa,Silver warehou,,,,,15
undecimalis,Common snook,13365,1460,,,7
niloticus,Snook,110000,,,,7.8
lineolatus,Lined butterflyfish,,,,,10
rostratus,Longnosed butterflyfish,,,,,10
flavissimus,Longnose butterflyfish,,,,,18
spectabilis,Brownbanded morwong,,,,,59
macropterus,Tarakihi,,1825,,,50
bimaculatum,Black acara,,,,,20
facetum,Chanchito,,,,,10
cyanoguttatum,Rio Grande cichlid,,,,,5
andersonii,Three spotted tilapia,2590.5,1460,,,13
esculentus,Singida tilapia,,,,,10
mortimeri,Kariba tilapia,,,,,8
mossambicus,Mozambique mouth-breeder,621.5,293,,,11
niloticus,Nile tilapia,2400,,,,9
philander,Southern mouthbrooder,,,,,5
codringtonii,Green happy,1215.5,,,,7
giardi,Pink happy,1595,730,,,7
angusticeps,Thinface cichlid,1375,,,,9
carlottae,Rainbow happy,550,,,,6
macrocephalus,Purpleface largemouth,825,,,,6
rendalli,Redbreast tilapia,1375,,,,7
zillii,Redbelly tilapia,165,492,,,7
equiselis,Pompano dolphin,,,,,4
hippurus,Common dolphinfish,22000,197,,,4
zonatum,Banded pygmy sunfish,,,,,3
argenteus,Barred surfperch,1100,,,,9
aggregata,Shiner perch,,,,,8
jacksoni,Black perch,385,,,,10
ellipticum,Silver surfperch,,,,,7
telescopus,Telescope cardinal,,,,,104
brevilineata,Short-lined escolar,,,,,15
solandri,Silver gemfish,8800,1460,,,16
atun,Atun,3300,1003,,,10
gracilis,New Zealand slender clingfish,,,,,4
hectoris,Hector's clingfish,,,,,4
littoreus,Giant clingfish,,,,,6
melobesia,Striped clingfish,,,,,4
ios,Arrow goby,,,,,3
linearis,Crystal goby,,365,,,1
newberryi,Tidewater goby,,,,,1
sigillata,Pygmy goby,,36,,135,0.16
robustum,Code goby,,,,,1
niger,Black goby,,292,,,5
paganellus,Rock goby,,912,,,10
flavescens,Twospotted goby,,,,,2
scorpioides,Diminutive goby,,,,,2
lepidus,Bay goby,,,,,7
friesii,Fries' goby,,730,,,11
melanostomus,Round goby,,1277,,,4
lozanoi,Lozano's goby,,,,,2
marmoratus,Marbled goby,,,,,2
minutus,Freckled goby,,365,,,3
pictus,Painted goby,,,,,2
ephippiatus,Leopard-spotted goby,,,,,9
sciurus,Bluestriped grunt,412.5,,,,12
chrysoptera,Pigfish,500,,,,4
antarcticus,Antarctic spiny plunderfish,,,,,9
platypterus,Atlantic sailfish,55110,,,,13
nigricans,Black spearfish,93500,,,,28
exoletus,Rock cook,,,,,6
rupestris,Goldsinny wrasse,,,,,8
dimidiatus,Cleaner fish,,,,,4
bergylta,Ballan wrasse,2392.5,,,,29
merula,Brown wrasse,,,,,17
celidotus,Spotty,,,,,7
pulcher,California sheephead,,,,,53
melops,Corkwing wrasse,,912,,,9
onitis,Tautog,6215,,,,34
adspersus,Cunner,550,365,,,6
bifasciatum,Bluehead,,,,,3
ciliaris,Bastard trumpeter,,2007,,,33
atkinsoni,Pacific yellowtail emperor,,,,,24
genivittatus,Lancer,,,,,7
harak,Blackspot emperor,,,,,15
lentjan,Pig-face bream,,1277,,,19
mahsena,Sky emperor,,1095,,,27
miniatus,Lipper,5280,912,,,22
nebulosus,Blue emperor,4620,1898,,,27
obsoletus,Orange-striped emperor,,,,,14
variegatus,Slender emperor,,,,,15
virescens,Blue-gray snapper,8470,,,,21
adetii,Hussar,,,,,40
analis,Mutton snapper,8580,,,,29
argentimaculatus,Mangrove jack,4785,1460,,,18
bohar,Red bass,6875,,,,13
campechanus,Northern red snapper,12540,,,,57
carponotatus,Spanish flag snapper,,,,,20
erythropterus,Crimson snapper,,,,,8
fulviflamma,Black spot snapper,,,,,23
gibbus,Humpback red snapper,,,,,18
lutjanus,Bigeye snapper,,,,,11
malabaricus,Malabar blood snapper,4350.5,,,,31
peru,Pacific red snapper,3195.5,,,,7.2
purpureus,Caribbean red snapper,5500,2008,,,18
quinquelineatus,Blue-banded sea perch,,,,,31
sanguineus,Saddletailed sea perch,12650,1003,,,13
sebae,Emperor snapper,17985,,,,35
synagris,Lane snapper,1941.5,365,,,10
vitta,Blackstriped snapper,,,,,12
chrysurus,Yellowtail snapper,2238.5,,,,14
filamentosus,Crimson jobfish,4484.7,,,,18
multidens,Goldbanded jobfish,,,,,30
typus,Sharptooth jobfish,1210,,,,11
aurorubens,Vermilion snapper,1743.5,1095,,,10
japonicus,Red tilefish,687.5,912,,,12
microps,Blueline tilefish,3850,,,,15
princeps,Ocean whitefish,3168,,,,13
chamaeleonticeps,Blue tilefish,16500,1825,,,35
labrax,European seabass,6600,730,,,15
americana,White perch,1210,,,,7
chrysops,White bass,1537.25,730,2,,9
mississippiensis,Yellow bass,6050,,,,6
saxatilis,Striped bass,31350,,,,30
surmuletus,Red mullet,550,730,,,10
moluccensis,Goldband goatfish,,,,,5
japonicus,Japanese threadfin-bream,327.8,,,,8
mawsoni,Antarctic toothfish,44000,,,,31
squamifrons,Grey rockcod,,,,,19
rossii,Marbled rockcod,5500,,,,16
antarcticum,Antarctic silverfish,110,,,,20
bernacchii,Emerald rockcod,,1277,,,10
splendens,Siamese fighting fish,,,,,2
peelii,Murray cod,62000,,,,48
ambigua,Golden perch,13200,912,,,20
novemaculeata,Australian bass,,,,,22
clara,Western sand darter,,,,,3
asprella,Crystal darter,,,,,3
acuticeps,Sharphead darter,,,,,3
asprigene,Mud darter,,,,,3
barbouri,Teardrop darter,,,,,2
blennioides,Greenside darter,,365,,,5
blennius,Blenny darter,,,,,3
caeruleum,Rainbow darter,,,,,3
collettei,Creole darter,,,,,3
coosae,Coosa darter,,,,,3
cragini,Arkansas darter,,,,,3
ditrema,Coldwater darter,,,,,2
exile,Iowa darter,,,,,3
flabellare,Fantail darter,,,,,4
fusiforme,Swamp darter,,365,,,2
gracile,Slough darter,,,,,4
juliae,Yoke darter,,,,,3
kennicotti,Stripetail darter,,,,,3
longimanum,Longfin darter,,,,,3
microperca,Least darter,,,,,2
moorei,Yellowcheek darter,,,,,4
nianguae,Niangua darter,,,,,4
nigrum,Johnny darter,,,,,4
okaloosae,Okaloosa darter,,,,,8
olivaceum,Dirty darter,,,,,2
olmstedi,Tessellated darter,,,,,4
pallididorsum,Paleback darter,,,,,2
proeliare,Cypress darter,,,,,2
punctulatum,Stippled darter,,,,,4
radiosum,Orangebelly darter,,,,,4
rubrum,Bayou darter,,,,,3
rufilineatum,Redline darter,,365,,77,4
smithi,Slabrock darter,,,,,2
squamiceps,Spottail darter,,,,,3
striatulum,Striated darter,,,,,2
variatum,Variegate darter,,,,,4
zonale,Banded darter,,,,,4
flavescens,Yellow perch,1055.25,,16,100000,12
